SKU,Price API,Price Shopify,Quantity
P25089,9.93,13.90,10
P25420,19.16,26.64,0
P25428,26.85,37.25,0
P25440,14.4,20.07,50
P25441,12.69,17.71,10
P25458,10.71,14.98,10
P25477,6.8,9.58,50
P25549,6.68,9.42,100
P25550,17.74,24.68,0
P25553,7.36,10.36,0
P25555,5.99,8.47,3
P25560,5.31,7.53,0
P25561,3.27,4.71,0
P25562,6.09,8.60,50
P25563,12.89,17.99,100
P25564,11.45,16.00,100
P25565,5.83,8.25,50
P25566,7.19,10.12,10
P25567,8.78,12.32,10
P25569,13.85,19.31,10
P26139,6.95,9.79,50
P25602,3.84,5.50,0
P25601,31.9,44.22,6
P26336,13.33,18.60,0
P26337,10.53,14.73,5
P26339,7.21,10.15,6
P26356,31.4,43.53,10
P26387,44.2,61.20,0
P26388,44.2,61.20,0
P26390,44.2,61.20,0
P26503,33.74,46.76,10
P26581,11.89,16.61,100
P26582,20.9,29.04,10
P26584,9.56,13.39,5
P26585,9.56,13.39,0
P26586,9.56,13.39,100
P26587,20.9,29.04,10
P26589,8.97,12.58,4
P26590,22.42,31.14,10
P26596,13.48,18.80,0
P26598,6.07,8.58,50
P26599,8.75,12.27,0
P26603,6.48,9.14,0
P26605,19.4,26.97,10
P26606,16.1,22.42,100
P26607,6.07,8.58,10
P26608,30.14,41.79,4
P26610,7.57,10.65,0
P26766,17.25,24.00,0
P26778,27.74,38.48,4
P26780,47.98,66.41,10
P26967,16.13,22.46,10
P26975,8.1,11.38,10
P26977,14.97,20.86,50
P26978,5.71,8.08,0
P26984,18.05,25.11,0
P26985,47.47,65.71,0
P26986,18.05,25.11,0
P26987,47.47,65.71,0
P26988,18.05,25.11,0
P26989,47.47,65.71,0
P26990,18.05,25.11,0
P26991,47.47,65.71,0
P26992,18.05,25.11,0
P26993,18.05,25.11,0
P26994,47.47,65.71,0
P26998,18.05,25.11,0
P26999,47.47,65.71,0
P27021,6.72,9.47,0
P27022,8.05,11.31,6
P27023,3.66,5.25,0
P27026,9.34,13.09,1
P27029,3.07,4.44,10
P27030,9.81,13.74,10
P27032,8.95,12.55,10
P27033,7.31,10.29,100
P27035,3.51,5.04,10
P27036,26.92,37.35,10
P27037,15.68,21.84,10
P27042,10.34,14.47,50
P27045,8.38,11.76,10
P27050,18.41,25.61,7
P27052,4.3,6.13,10
P27053,5.83,8.25,10
P27059,8.25,11.59,4
P27061,6.68,9.42,10
P27063,4.57,6.51,10
P27064,7.21,10.15,10
P27067,7.14,10.05,10
P27069,14.78,20.60,10
P27072,13.8,19.24,3
P27075,5.83,8.25,1
